ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_AREA_UBICACION,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL
1,4,2,1,1,1,0,0,180,0,40,37,42,42,45.0,203
0,21,2,1,0,1,1,15,180,0,64,51,38,43,53.0,247
1,28,1,0,0,0,1,45,0,0,31,35,36,34,38.0,172
0,2,1,1,1,1,2,45,45,0,55,57,52,34,50.0,248
0,14,2,0,0,0,1,15,15,0,60,59,54,54,40.0,277
0,14,3,1,1,1,1,0,120,0,58,42,42,31,43.0,216
1,2,5,1,1,1,1,0,120,0,46,37,40,35,55.0,203
1,23,1,0,1,1,0,15,120,0,51,57,53,51,50.0,264
1,18,1,0,0,0,0,45,0,0,54,44,45,40,50.0,230
1,2,4,1,1,0,1,90,120,0,55,64,61,69,65.0,312
1,14,2,0,1,0,1,0,0,0,42,44,49,31,45.0,209
1,14,2,1,1,1,1,45,45,0,66,69,59,60,57.0,315
1,15,2,1,1,1,1,90,180,0,66,51,53,58,56.0,285
0,25,2,1,1,1,1,0,180,0,51,54,45,46,46.0,244
1,15,3,1,1,1,1,45,45,0,56,59,53,54,55.0,277
0,20,1,0,0,0,1,120,120,0,60,53,62,59,63.0,294
0,7,3,1,1,1,2,15,180,0,70,65,66,71,66.0,339
1,22,1,0,1,1,1,0,15,0,64,68,64,50,52.0,304
1,4,0,0,1,1,1,15,15,0,46,48,47,42,39.0,226
0,23,2,1,0,1,2,45,180,0,43,32,38,31,49.0,185
0,28,2,1,1,1,2,15,180,0,42,36,41,34,39.0,192
0,14,2,1,1,1,2,45,120,0,33,45,45,30,44.0,193
0,2,2,1,1,1,2,45,45,0,49,63,61,59,43.0,284
1,15,2,1,0,1,1,120,45,0,71,68,61,73,70.0,342
0,29,2,0,0,0,1,45,0,1,53,47,46,49,43.0,242
1,20,1,0,0,0,1,0,45,1,49,39,34,41,41.0,204
0,30,1,0,0,1,1,45,15,1,49,38,43,39,41.0,211
1,26,2,1,1,1,2,0,180,0,52,50,39,40,38.0,223
0,5,2,0,0,0,1,15,120,0,47,49,46,47,51.0,238
1,26,2,1,1,0,1,15,45,0,51,63,55,45,41.0,263
0,31,1,0,1,0,1,0,15,1,49,51,42,44,32.0,227
1,6,2,1,0,1,1,15,180,0,76,69,63,67,76.0,347
0,2,3,1,1,1,1,45,180,1,62,55,54,51,68.0,282
0,15,2,1,1,1,1,90,120,0,65,61,65,65,76.0,325
1,11,2,1,1,0,1,45,120,0,46,40,41,41,42.0,210
1,2,2,0,0,0,1,0,180,1,50,53,46,38,51.0,235
0,26,3,1,1,1,1,0,180,0,49,42,48,40,52.0,227
0,13,1,1,1,1,2,45,180,0,48,50,49,43,47.0,237
