ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_AREA_UBICACION,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,PROMEDIO_AREAS,DESVIACION_AREAS,BRECHA_MEJOR_PEOR,MEJOR_AREA,PEOR_AREA,TIENE_INTERNET_Y_TV,INDICE_RECURSOS_HOGAR,DEDICACION_TOTAL_MIN,ZONA_RURAL,NIVEL_INGLES,Z_LECTURA_CRITICA,Z_MATEMATICAS,Z_C_NATURALES,Z_SOCIALES_CIUDADANAS,Z_INGLES,NIVEL_DESEMPENO_GLOBAL,PERCENTIL_GLOBAL,RATIO_LECTURA_MATEMATICAS,GRUPO_ESTRATO
0,18,2,1,1,1,0,15,15,0,39,37,31,38,39.0,182,36.8,3.3466401061363023,8.0,PUNT_LECTURA_CRITICA,PUNT_C_NATURALES,1,3,30,0,bajo,-1.396121353430714,-1.1768890999059587,-1.8386101417781253,-0.8977559877722261,-1.084010604025143,Bajo,6.566666666666666,1.054054054054054,medio
0,4,1,0,0,1,0,15,120,0,51,34,37,44,49.0,210,43.0,7.3824115301167,17.0,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,0,1,135,0,medio,-0.19308701182734148,-1.430383305801843,-1.264781682645652,-0.39912577980196967,-0.20994948160525678,Bajo,21.96666666666667,1.5,bajo
1,28,2,1,1,1,1,45,120,0,58,62,68,64,65.0,316,63.4,3.714835124201342,10.0,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,1,3,165,0,alto,0.5086830207746258,0.9355626158930772,1.6999986895387929,1.2629749134322181,1.1885483142665612,Alto,87.46666666666667,0.9354838709677419,medio
1,5,2,0,1,1,1,0,15,0,50,46,36,37,34.0,208,40.6,6.985699678629192,16.0,PUNT_LECTURA_CRITICA,PUNT_INGLES,0,2,15,0,bajo,-0.29333987362762254,-0.41640648221830573,-1.360419759167731,-0.9808610224339355,-1.5210411652350861,Bajo,20.366666666666667,1.0869565217391304,medio
1,15,3,1,1,1,2,0,120,0,66,66,62,58,51.0,310,60.6,6.308724118235001,15.0,PUNT_LECTURA_CRITICA,PUNT_INGLES,1,3,120,0,medio,1.3107059151768743,1.273554890420923,1.1261702304063195,0.7643447054619619,-0.03513725712127952,Alto,85.2,1.0,medio
0,31,2,1,1,1,1,15,120,0,55,53,53,47,48.0,258,51.2,3.492849839314596,8.0,PUNT_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,1,3,135,0,medio,0.2079244353737827,0.17507999820542433,0.2654275417076098,-0.14981067581684152,-0.2973555938472454,Medio,54.400000000000006,1.0377358490566038,medio
0,30,1,1,1,1,2,15,120,0,59,45,48,55,52.0,259,51.8,5.540758070878027,14.0,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,1,3,135,0,medio,0.6089358825749068,-0.5009045508502672,-0.21276284090278455,0.5150296014768336,0.05226885512070911,Medio,55.06666666666666,1.3111111111111111,bajo
1,28,3,1,1,1,1,45,120,0,59,63,63,63,72.0,314,64.0,4.795831523312719,13.0,PUNT_INGLES,PUNT_LECTURA_CRITICA,1,3,165,0,alto,0.6089358825749068,1.0200606845250386,1.2218083069283985,1.1798698787705089,1.8003910999604817,Alto,86.56666666666666,0.9365079365079365,medio
1,15,2,1,1,1,1,45,45,0,56,55,50,57,52.0,272,54.0,2.9154759474226504,7.0,PUNT_SOCIALES_CIUDADANAS,PUNT_C_NATURALES,1,3,90,0,medio,0.3081772971740637,0.3440761354693472,-0.02148668785862681,0.6812396708002525,0.05226885512070911,Medio,63.7,1.018181818181818,medio
0,6,2,0,1,0,2,15,15,0,59,51,57,54,45.0,272,53.2,5.495452665613635,14.0,PUNT_LECTURA_CRITICA,PUNT_INGLES,0,1,30,0,medio,0.6089358825749068,0.006083860941501454,0.6479798477959252,0.43192456681512426,-0.5595739305732113,Medio,63.7,1.1568627450980393,medio
